Epoch: [0][100]	Time 2.020 (2.127)	Data 0.835 (0.885)	Loss 8.1782 (8.2562)	Lr: 0.0379
Epoch: [0][200]	Time 2.075 (2.098)	Data 0.880 (0.885)	Loss 8.1291 (8.2212)	Lr: 0.0759
Epoch: [0][300]	Time 2.057 (2.084)	Data 0.868 (0.882)	Loss 8.2719 (8.2059)	Lr: 0.1138
Epoch: [0][400]	Time 2.036 (2.077)	Data 0.863 (0.880)	Loss 8.0115 (8.1749)	Lr: 0.1518
Epoch: [0][500]	Time 2.062 (2.074)	Data 0.889 (0.882)	Loss 8.0067 (8.1421)	Lr: 0.1897
Epoch: [0][600]	Time 2.026 (2.069)	Data 0.858 (0.880)	Loss 8.0080 (8.1198)	Lr: 0.2277
Epoch: [0][700]	Time 2.004 (2.068)	Data 0.832 (0.881)	Loss 8.0070 (8.1038)	Lr: 0.2656
Epoch: [0][800]	Time 2.065 (2.066)	Data 0.887 (0.881)	Loss 8.0066 (8.0917)	Lr: 0.3036
Epoch: [0][900]	Time 2.042 (2.069)	Data 0.867 (0.885)	Loss 8.0063 (8.0823)	Lr: 0.3415
Epoch: [0][1000]	Time 2.083 (2.069)	Data 0.912 (0.886)	Loss 8.0065 (8.0748)	Lr: 0.3795
Epoch: [0][1100]	Time 2.058 (2.069)	Data 0.880 (0.887)	Loss 8.0071 (8.0687)	Lr: 0.4174
Epoch: [0][1200]	Time 2.025 (2.067)	Data 0.863 (0.886)	Loss 8.0065 (8.0635)	Lr: 0.4554

Epoch: [1][100]	Time 2.085 (2.036)	Data 0.915 (0.870)	Loss 8.0063 (8.0068)	Lr: 0.5180
Epoch: [1][200]	Time 2.028 (2.047)	Data 0.859 (0.879)	Loss 8.0064 (8.0069)	Lr: 0.5559
Epoch: [1][300]	Time 2.059 (2.050)	Data 0.889 (0.881)	Loss 8.0064 (8.0069)	Lr: 0.5939
Epoch: [1][400]	Time 2.080 (2.049)	Data 0.912 (0.881)	Loss 8.0104 (8.0070)	Lr: 0.6318
Epoch: [1][500]	Time 2.021 (2.052)	Data 0.846 (0.884)	Loss 8.0064 (8.0070)	Lr: 0.6698
Epoch: [1][600]	Time 2.065 (2.065)	Data 0.898 (0.896)	Loss 8.0065 (8.0069)	Lr: 0.7077
Epoch: [1][700]	Time 2.035 (2.064)	Data 0.864 (0.895)	Loss 8.0066 (8.0069)	Lr: 0.7457
Epoch: [1][800]	Time 2.058 (2.062)	Data 0.882 (0.893)	Loss 8.0064 (8.0068)	Lr: 0.7836
Epoch: [1][900]	Time 2.063 (2.062)	Data 0.899 (0.892)	Loss 8.0069 (8.0068)	Lr: 0.8216
Epoch: [1][1000]	Time 2.079 (2.062)	Data 0.908 (0.892)	Loss 8.0088 (8.0068)	Lr: 0.8595
Epoch: [1][1100]	Time 2.045 (2.064)	Data 0.878 (0.893)	Loss 8.0066 (8.0067)	Lr: 0.8975
Epoch: [1][1200]	Time 2.020 (2.063)	Data 0.836 (0.893)	Loss 8.0064 (8.0067)	Lr: 0.9354

Epoch: [2][100]	Time 2.049 (2.042)	Data 0.886 (0.879)	Loss 8.0064 (8.0064)	Lr: 0.9980
Epoch: [2][200]	Time 2.064 (2.053)	Data 0.896 (0.887)	Loss 8.0064 (8.0064)	Lr: 1.0360
Epoch: [2][300]	Time 2.004 (2.052)	Data 0.838 (0.886)	Loss 8.0063 (8.0064)	Lr: 1.0739
Epoch: [2][400]	Time 2.095 (2.051)	Data 0.938 (0.885)	Loss 8.0064 (8.0064)	Lr: 1.1119
Epoch: [2][500]	Time 2.069 (2.053)	Data 0.907 (0.887)	Loss 8.0068 (8.0065)	Lr: 1.1498
Epoch: [2][600]	Time 2.054 (2.052)	Data 0.894 (0.887)	Loss 8.0064 (8.0066)	Lr: 1.1878
Epoch: [2][700]	Time 2.060 (2.052)	Data 0.898 (0.887)	Loss 8.0064 (8.0066)	Lr: 1.2257
Epoch: [2][800]	Time 2.002 (2.051)	Data 0.847 (0.886)	Loss 8.0064 (8.0065)	Lr: 1.2637
Epoch: [2][900]	Time 2.060 (2.050)	Data 0.907 (0.886)	Loss 8.0065 (8.0065)	Lr: 1.3016
Epoch: [2][1000]	Time 2.443 (2.053)	Data 1.285 (0.890)	Loss 8.0064 (8.0065)	Lr: 1.3396
Epoch: [2][1100]	Time 2.032 (2.053)	Data 0.868 (0.890)	Loss 8.0064 (8.0065)	Lr: 1.3775
Epoch: [2][1200]	Time 2.017 (2.053)	Data 0.855 (0.890)	Loss 8.0064 (8.0065)	Lr: 1.4154

Epoch: [3][100]	Time 2.070 (2.078)	Data 0.905 (0.921)	Loss 8.0065 (8.0065)	Lr: 1.4781
Epoch: [3][200]	Time 2.035 (2.090)	Data 0.870 (0.931)	Loss 8.0064 (8.0066)	Lr: 1.5160
Epoch: [3][300]	Time 2.004 (2.078)	Data 0.841 (0.916)	Loss 8.0067 (8.0066)	Lr: 1.5540
Epoch: [3][400]	Time 2.016 (2.069)	Data 0.859 (0.907)	Loss 8.0075 (8.0068)	Lr: 1.5919
Epoch: [3][500]	Time 2.026 (2.064)	Data 0.869 (0.902)	Loss 8.0064 (8.0068)	Lr: 1.6299
Epoch: [3][600]	Time 1.978 (2.061)	Data 0.811 (0.900)	Loss 8.0100 (8.0067)	Lr: 1.6678
Epoch: [3][700]	Time 2.040 (2.057)	Data 0.870 (0.896)	Loss 8.0064 (8.0067)	Lr: 1.7057
Epoch: [3][800]	Time 2.021 (2.056)	Data 0.859 (0.896)	Loss 8.0064 (8.0067)	Lr: 1.7437
Epoch: [3][900]	Time 2.043 (2.055)	Data 0.880 (0.895)	Loss 8.0065 (8.0067)	Lr: 1.7816
Epoch: [3][1000]	Time 2.029 (2.055)	Data 0.875 (0.895)	Loss 8.0065 (8.0067)	Lr: 1.8196
Epoch: [3][1100]	Time 2.019 (2.054)	Data 0.862 (0.893)	Loss 8.0064 (8.0066)	Lr: 1.8575
Epoch: [3][1200]	Time 1.983 (2.053)	Data 0.833 (0.892)	Loss 8.0064 (8.0066)	Lr: 1.8955

Epoch: [4][100]	Time 2.036 (2.050)	Data 0.875 (0.895)	Loss 8.0064 (8.0065)	Lr: 1.9581
Epoch: [4][200]	Time 2.116 (2.047)	Data 0.957 (0.890)	Loss 8.0064 (8.0064)	Lr: 1.9960
Epoch: [4][300]	Time 2.061 (2.053)	Data 0.903 (0.896)	Loss 8.0064 (8.0064)	Lr: 2.0340
Epoch: [4][400]	Time 2.080 (2.056)	Data 0.917 (0.898)	Loss 8.0064 (8.0064)	Lr: 2.0719
Epoch: [4][500]	Time 2.040 (2.054)	Data 0.881 (0.896)	Loss 8.0064 (8.0064)	Lr: 2.1099
Epoch: [4][600]	Time 1.967 (2.063)	Data 0.805 (0.905)	Loss 8.0064 (8.0064)	Lr: 2.1478
Epoch: [4][700]	Time 2.038 (2.060)	Data 0.872 (0.902)	Loss 8.0064 (8.0064)	Lr: 2.1858
Epoch: [4][800]	Time 2.057 (2.058)	Data 0.895 (0.900)	Loss 8.0065 (8.0064)	Lr: 2.2237
Epoch: [4][900]	Time 2.102 (2.057)	Data 0.948 (0.898)	Loss 8.0064 (8.0064)	Lr: 2.2617
Epoch: [4][1000]	Time 2.060 (2.056)	Data 0.904 (0.898)	Loss 8.0064 (8.0064)	Lr: 2.2996
Epoch: [4][1100]	Time 2.057 (2.055)	Data 0.900 (0.897)	Loss 8.0064 (8.0064)	Lr: 2.3376
Epoch: [4][1200]	Time 2.064 (2.055)	Data 0.908 (0.896)	Loss 8.0064 (8.0064)	Lr: 2.3755

Epoch: [5][100]	Time 2.085 (2.039)	Data 0.928 (0.885)	Loss 8.0062 (8.0069)	Lr: 2.4381
Epoch: [5][200]	Time 2.018 (2.042)	Data 0.864 (0.886)	Loss 8.0064 (8.0067)	Lr: 2.4761
Epoch: [5][300]	Time 2.036 (2.043)	Data 0.876 (0.887)	Loss 8.0064 (8.0066)	Lr: 2.5140
Epoch: [5][400]	Time 2.021 (2.041)	Data 0.857 (0.885)	Loss 8.0064 (8.0066)	Lr: 2.5520
Epoch: [5][500]	Time 2.021 (2.042)	Data 0.863 (0.886)	Loss 8.0076 (8.0065)	Lr: 2.5899
Epoch: [5][600]	Time 2.010 (2.043)	Data 0.861 (0.886)	Loss 8.0064 (8.0065)	Lr: 2.6279
Epoch: [5][700]	Time 2.131 (2.046)	Data 0.974 (0.890)	Loss 8.0064 (8.0065)	Lr: 2.6658
Epoch: [5][800]	Time 1.985 (2.049)	Data 0.833 (0.892)	Loss 8.0064 (8.0065)	Lr: 2.7038
Epoch: [5][900]	Time 2.058 (2.049)	Data 0.899 (0.892)	Loss 8.0070 (8.0065)	Lr: 2.7417
Epoch: [5][1000]	Time 2.030 (2.050)	Data 0.869 (0.893)	Loss 8.0064 (8.0065)	Lr: 2.7797
Epoch: [5][1100]	Time 2.110 (2.049)	Data 0.951 (0.892)	Loss 8.0064 (8.0065)	Lr: 2.8176
