Epoch: [0][100]	Time 0.073 (0.101)	Data 0.035 (0.035)	Loss 8.2769 (8.3228)	Lr: 0.0085
Epoch: [0][200]	Time 0.065 (0.083)	Data 0.033 (0.034)	Loss 8.2556 (8.2927)	Lr: 0.0171
Epoch: [0][300]	Time 0.068 (0.078)	Data 0.035 (0.034)	Loss 8.2440 (8.2800)	Lr: 0.0256
Epoch: [0][400]	Time 0.066 (0.075)	Data 0.033 (0.034)	Loss 8.0691 (8.2509)	Lr: 0.0341
Epoch: [0][500]	Time 0.066 (0.073)	Data 0.034 (0.034)	Loss 8.0159 (8.2081)	Lr: 0.0427
Epoch: [0][600]	Time 0.064 (0.072)	Data 0.032 (0.034)	Loss 8.0080 (8.1752)	Lr: 0.0512
Epoch: [0][700]	Time 0.064 (0.071)	Data 0.032 (0.034)	Loss 8.0068 (8.1512)	Lr: 0.0597
Epoch: [0][800]	Time 0.069 (0.071)	Data 0.036 (0.034)	Loss 8.0068 (8.1332)	Lr: 0.0683
Epoch: [0][900]	Time 0.067 (0.070)	Data 0.035 (0.034)	Loss 8.0068 (8.1192)	Lr: 0.0768
Epoch: [0][1000]	Time 0.065 (0.070)	Data 0.033 (0.034)	Loss 8.0067 (8.1079)	Lr: 0.0853
Epoch: [0][1100]	Time 0.072 (0.070)	Data 0.039 (0.034)	Loss 8.0065 (8.0987)	Lr: 0.0939
Epoch: [0][1200]	Time 0.067 (0.069)	Data 0.034 (0.034)	Loss 8.0066 (8.0911)	Lr: 0.1024
Epoch: [0][1300]	Time 0.066 (0.069)	Data 0.034 (0.034)	Loss 8.0065 (8.0846)	Lr: 0.1109
Epoch: [0][1400]	Time 0.067 (0.069)	Data 0.035 (0.034)	Loss 8.0065 (8.0790)	Lr: 0.1195
Epoch: [0][1500]	Time 0.066 (0.069)	Data 0.034 (0.034)	Loss 8.0065 (8.0742)	Lr: 0.1280
Epoch: [0][1600]	Time 0.065 (0.069)	Data 0.033 (0.034)	Loss 8.0065 (8.0699)	Lr: 0.1365
Epoch: [0][1700]	Time 0.064 (0.068)	Data 0.033 (0.034)	Loss 8.0065 (8.0662)	Lr: 0.1451
Epoch: [0][1800]	Time 0.071 (0.068)	Data 0.037 (0.034)	Loss 8.0064 (8.0629)	Lr: 0.1536
Epoch: [0][1900]	Time 0.068 (0.068)	Data 0.036 (0.034)	Loss 8.0064 (8.0599)	Lr: 0.1621
Epoch: [0][2000]	Time 0.068 (0.068)	Data 0.035 (0.034)	Loss 8.0064 (8.0572)	Lr: 0.1707
Epoch: [0][2100]	Time 0.069 (0.068)	Data 0.036 (0.034)	Loss 8.0064 (8.0548)	Lr: 0.1792
Epoch: [0][2200]	Time 0.068 (0.068)	Data 0.036 (0.034)	Loss 8.0064 (8.0526)	Lr: 0.1877
Epoch: [0][2300]	Time 0.066 (0.068)	Data 0.033 (0.034)	Loss 8.0064 (8.0506)	Lr: 0.1963
Epoch: [0][2400]	Time 0.067 (0.068)	Data 0.034 (0.034)	Loss 8.0064 (8.0488)	Lr: 0.2048
Epoch: [0][2500]	Time 0.066 (0.068)	Data 0.033 (0.034)	Loss 8.0064 (8.0471)	Lr: 0.2133
Epoch: [0][2600]	Time 0.074 (0.068)	Data 0.034 (0.034)	Loss 8.0064 (8.0455)	Lr: 0.2219
Epoch: [0][2700]	Time 0.066 (0.068)	Data 0.034 (0.034)	Loss 8.0064 (8.0441)	Lr: 0.2304
Epoch: [0][2800]	Time 0.063 (0.068)	Data 0.031 (0.034)	Loss 8.0064 (8.0427)	Lr: 0.2389
Epoch: [0][2900]	Time 0.066 (0.068)	Data 0.034 (0.034)	Loss 8.0064 (8.0415)	Lr: 0.2475
Epoch: [0][3000]	Time 0.064 (0.068)	Data 0.032 (0.034)	Loss 8.0064 (8.0403)	Lr: 0.2560
Epoch: [0][3100]	Time 0.063 (0.068)	Data 0.031 (0.034)	Loss 8.0064 (8.0392)	Lr: 0.2645
Epoch: [0][3200]	Time 0.067 (0.068)	Data 0.035 (0.034)	Loss 8.0064 (8.0382)	Lr: 0.2731
Epoch: [0][3300]	Time 0.065 (0.068)	Data 0.033 (0.034)	Loss 8.0064 (8.0372)	Lr: 0.2816
Epoch: [0][3400]	Time 0.066 (0.068)	Data 0.034 (0.034)	Loss 8.0064 (8.0363)	Lr: 0.2901
Epoch: [0][3500]	Time 0.065 (0.068)	Data 0.033 (0.034)	Loss 8.0064 (8.0355)	Lr: 0.2987
Epoch: [0][3600]	Time 0.063 (0.068)	Data 0.030 (0.034)	Loss 8.0064 (8.0346)	Lr: 0.3072
Epoch: [0][3700]	Time 0.066 (0.067)	Data 0.034 (0.034)	Loss 8.0064 (8.0339)	Lr: 0.3157
Epoch: [0][3800]	Time 0.063 (0.067)	Data 0.031 (0.034)	Loss 8.0064 (8.0332)	Lr: 0.3243
Epoch: [0][3900]	Time 0.065 (0.067)	Data 0.033 (0.034)	Loss 8.0064 (8.0325)	Lr: 0.3328
Epoch: [0][4000]	Time 0.065 (0.067)	Data 0.033 (0.034)	Loss 8.0064 (8.0318)	Lr: 0.3413
Epoch: [0][4100]	Time 0.066 (0.067)	Data 0.033 (0.034)	Loss 8.0064 (8.0312)	Lr: 0.3499
Epoch: [0][4200]	Time 0.067 (0.067)	Data 0.035 (0.034)	Loss 8.0064 (8.0306)	Lr: 0.3584
